D1,Lilobot wants to talk about their problem,false
D2,Lilobot wants to end the conversation,false
D3,Lilobot wants the Kindertelefoon to take the bullies out of school,false
D4,Lilobot wants to talk to his teacher about the problem,false
D5,Lilobot wants to find a solution together with the Kindertelefoon,false
D6,Lilobot wants to wrap-up the conversation,false
D7,Lilobot wants to be stronger than other children with the intention to hit back,false
D8,Lilobot wants to be stronger than other children with the intention to walk away,false
D9,Lilobot wants to be good for everyone with the intention not to tell anyone,false
D10,Lilobot wants to be good for everyone with the intention to tell someone,false
