chitchat,init,"Hey, I'm Kai.","Hiiii I am Kai","Hello, I'm Kai!","Hi! I'm Kai"
chitchat,greeting,"Hey, I'm Kai.","Hiiii I am Kai","Hello!","Hi! I'm Kai"
chitchat,faring,"well it's not going well","I'm feeling a little sad","I'm feeling sad","It's not going well :(("
chitchat,likes,"yess I like school","I like my school","I like school","yes"
chitchat,end,"okaaaay that's good!","okaaaay great!","yeah, okeeey :)))", okeeey :))
chitchat,goodbye,"Bye bye!","Bye!","Goodbye.","Have a nice day!"
bullying,what,"I get bullied at school.","I'm bullied at school","I'm being bullied","I'm being bullied at school :("
bullying,who,"a group of kids in my class","I am being bullied by a group of kids at school","a group of kids","I am being bullied by a group of kids"
bullying,age,"I'm 11 years old","I'm 11 years old","I'm 11 years old","I just turned 11"
bullying,bullyage,"They are around my age","They are in the same class","They are the same age as me, around 11","Most of them are 11 years old"
bullying,count,"4-5 kids","They are 4 or 5 kids","They are 4 or 5 kids","4-5 kids"
bullying,details,"Yesterday they beat me up again. they often tease me and sometimes hit me...I don't like that","I get shouted at, teased and so on. It actually started with jokes, but now it is becoming more and more bullying","Well, yesterday I met them after school and then they hit me again","they tease me for being ugly and for talking and walking strangely. Yesterday they make fun of me again"
bullying,location,"at school","on the schoolyard","at school :(","I am bullied in class and on the schoolyard (and also after school)"
bullying,frequency,"once every 2 weeks or so","every week or so","often... every week","almost every week"
bullying,duration,"since the start of this year","Since the start of this school year. I was bullied at my old school. I thought things would be different at this school, but that is not the case. :(","Since the beginning of the school year. I was also bullied at my old school and now... it's starting again...","since the beginning of the year... so I'm sometimes afraid to to go to school even though I like school"
bullying,when,"yesterday...after school","Yesterday ","Yesterday","yesterday they beat me up again"
bullying,why,"I'm not sure","I'm not sure. maybe the bullies are just mean to everyone.","the bullies often say mean comment that are meant to be funny, so I play the game, but it does affect me .","Don't know"
bullying,response,"Im scared to do anything","Nothing actually","Actually, I'm scared to do anything","Nothing. they also bully others, which is sad."
bullying,feeling,"I sometimes go to school with a stomach ache.","When I come home I'm always sad about it.","I often come home and cry really hard because I'm being teased. I feel powerless.","It makes me sad.I really don't know what to do anymore,I often feel left out. :((("
bullying,confidant,"nobody. I'm afraid they might be expelled","I haven't told anyone about it.  I don’t want to get my classmates in trouble.","I haven't talked to anyone about it yet. Otherwise they might bully others as well","I didn't tell anyone. I don't want them to bully others"
bullying,parent,"No. I don’t want them to worry about it.","No I don't want to worry them","I don't want them to worry about it","No I don't want to bother them about it"
school,start,I started this year,"Yes, I started this year", yes, I started this school year
goal,what,"that they don't hit me anymore","That they stop bullying me", I want the bullying to stop,"I don't want to be bullied anymore"
goal,dream,"I hope everyone can feel safe at school.","I wish no one else has to go through this.","I want us all to get along.","I hope no one has to feel scared at school."
goal,feeling, I would feel safe at school, I would be happy, just be cheerful... I just want to feel safe at school and have lunch with my friend and so on, I would feel happy
goal,effect,I would be happy, then I would feel safe, others would notice that I am happy, I will feel happy
goal,how,"Maybe if I don't anyone, no one will get in trouble.","I don't want to tell. I don’t others to be hurt because of me.","If I don’t say anything, maybe they’ll change on their own.","I don’t want say anything and then maybe they will bully other people."
